ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,date
12,1012,1022,22.9,16.5,67,0.8,290,2.7,160,0,0,1,2.4,...,4,...,2020/1/3
13,1010.8,1020.8,22.8,17,70,2.2,320,5.5,340,0,0,0.9,2.05,...,4,...,2020/1/3
14,1010,1020,23,16.9,69,0.8,220,4.1,330,0,0,0.9,1.64,5,3,3,2020/1/3
15,1009.7,1019.7,23.3,16.6,66,0.5,250,3,350,0,0,0.6,1.03,...,2,...,2020/1/3
16,1009.8,1019.8,22.3,15.9,67,1.1,270,4,330,0,0,0.8,0.68,...,1,...,2020/1/3
17,1010.6,1020.7,21.4,15.7,70,0.9,330,3.3,340,0,0,0.4,0.22,8,0,0,2020/1/3
18,1010.9,1021,19.7,15.1,75,1.6,360,4.7,20,0,0,0,0,...,0,...,2020/1/3
19,1012,1022.1,19.1,14.8,76,0.1,0,3.4,280,0,0,0,0,...,0,...,2020/1/3
20,1012.2,1022.3,19.6,15.4,77,0.5,330,2.5,330,0,0,...,0,8,0,6,2020/1/3
21,1012.4,1022.6,18.2,15.4,84,0,0,1.7,310,0,0,...,0,6,0,8,2020/1/3
22,1012.2,1022.4,18,15.8,87,0.1,0,1.5,80,0,0,...,0,...,0,...,2020/1/3
23,1011.9,1022.1,17.3,15.6,90,0.9,120,1.7,130,0,0,...,0,5,0,6,2020/1/3
24,1011.5,1021.7,17.1,15.8,92,0.7,80,1.4,80,0,0,...,0,...,0,...,2020/1/3
1,1011,1021.2,16.9,15.5,91,0.2,0,1.4,80,0,0,...,0,...,0,...,2020/1/4
2,1010.4,1020.6,16.3,15.2,93,0,0,1.1,60,0,0,...,0,5,0,0,2020/1/4
3,1010.2,1020.4,16.3,15.3,94,0.2,0,1.2,70,0,0,...,0,...,0,...,2020/1/4
4,1010.4,1020.6,17.1,16.2,94,0.1,0,1.5,120,0,0,...,0,...,0,...,2020/1/4
5,1010.7,1020.9,16.7,15.6,93,0.6,120,1.6,110,0,0,...,0,4,0,9,2020/1/4
6,1011.2,1021.4,16.3,15.2,93,0,0,1.4,120,0,0,0,0,...,0,...,2020/1/4
7,1011.5,1021.7,16.3,15.3,94,0.2,0,1.1,140,0,0,0,0,...,0,...,2020/1/4
8,1011.9,1022.1,17.9,16.9,94,0.2,0,1.2,70,0,0,0,0.2,3,0,0,2020/1/4
9,1012.3,1022.4,19.3,17.4,89,0.1,0,1.2,160,0,0,0.4,0.72,3,1,2,2020/1/4
10,1012,1022.1,20.8,17.1,79,0.7,160,2.1,160,0,0,1,1.22,...,2,...,2020/1/4
11,1011.2,1021.2,22,17.3,75,0.8,320,2.5,180,0,0,1,1.7,4,3,2,2020/1/4
12,1009.7,1019.7,23.6,16.8,66,0.7,250,3.1,230,0,0,1,2.08,...,4,...,2020/1/4
13,1008.8,1018.7,24.3,17.3,65,1.6,240,4,240,0,0,0.9,2.34,...,4,...,2020/1/4
14,1008.4,1018.4,23.6,16.9,66,1.6,340,4,220,0,0,0.5,1.56,4,2,8,2020/1/4
15,1008.3,1018.3,22.7,17.1,71,1.1,300,5.5,350,0,0,0,0.62,...,1,...,2020/1/4
16,1008.4,1018.4,21.9,16.6,72,1.9,330,4.4,310,0,0,0,0.66,...,1,...,2020/1/4
17,1008.9,1019,20.5,16.6,78,2.1,340,5,350,0,0,0,0.18,7,0,2,2020/1/4
18,1009.4,1019.5,20.3,16.9,81,0.9,350,4.1,20,0,0,0,0,...,0,...,2020/1/4
19,1009.7,1019.8,19.9,16.7,82,0.5,280,2.7,340,0,0,0,0,...,0,...,2020/1/4
20,1009.9,1020,18.7,16.5,87,0,0,1.4,320,0,0,...,0,7,0,0,2020/1/4
21,1010.4,1020.6,18.4,16.6,89,0.1,0,1.5,240,0,0,...,0,5,0,0,2020/1/4
22,1010.7,1020.9,18.2,16.6,90,0.2,0,1.9,160,0,0,...,0,...,0,...,2020/1/4
23,1010.5,1020.7,17.9,16.5,92,0.3,100,1.4,80,0,0,...,0,4,0,0,2020/1/4
24,1010.2,1020.4,17.7,16.4,92,0,0,1.2,70,0,0,...,0,...,0,...,2020/1/4
1,1010,1020.2,17.6,16.4,93,0.1,0,1.1,80,0,0,...,0,...,0,...,2020/1/5
2,1009.7,1019.9,17.3,16,92,0.3,60,1.2,70,0,0,...,0,3,0,0,2020/1/5
3,1009.6,1019.8,16.7,15.7,94,0.1,0,1.3,70,0,0,...,0,...,0,...,2020/1/5
4,1009.5,1019.7,16.7,15.9,95,0.3,120,1.3,320,0,0,...,0,...,0,...,2020/1/5
5,1009.7,1019.9,16.4,15.4,94,0.4,100,1.5,140,0,0,...,0,3,0,0,2020/1/5
6,1010.4,1020.6,16.2,15.3,94,0,0,1.3,120,0,0,0,0,...,0,...,2020/1/5
7,1011,1021.2,16.3,15.5,95,0.1,0,1.4,140,0,0,0,0,...,0,...,2020/1/5
8,1011.7,1021.9,17.3,16.6,96,0,0,1.3,80,0,0,0,0.21,3,0,4,2020/1/5
9,1012.4,1022.6,18.1,17.4,96,0.9,200,2.6,230,0,0,0.4,0.69,4,1,9,2020/1/5
10,1012.5,1022.6,20.1,17.6,86,0.3,170,2,180,0,0,0.7,1.26,...,2,...,2020/1/5
11,1011.6,1021.6,22.4,17.2,72,1,200,2.3,190,0,0,1,1.86,5,3,3,2020/1/5
12,1010.5,1020.5,23.2,16.5,66,1.3,170,4.2,230,0,0,0.9,2.15,...,4,...,2020/1/5
13,1009.5,1019.4,24.4,16.6,62,1.5,210,5.8,230,0,0,1,2.34,...,5,...,2020/1/5
14,1009,1018.9,24.4,17,63,2.3,230,4.9,240,0,0,1,1.96,8,4,3,2020/1/5
15,1008.9,1018.9,23.9,17.1,66,1.5,220,5.2,260,0,0,1,1.55,...,2,...,2020/1/5
16,1009.4,1019.4,22.9,16.9,69,2,210,3.9,230,0,0,1,0.89,...,1,...,2020/1/5
17,1010.3,1020.3,21.5,17,76,1.7,240,4.1,230,0,0,0.3,0.23,4,0,9,2020/1/5
18,1011.1,1021.2,20.7,17.1,80,1.5,320,4.3,290,0,0,0,0,...,0,...,2020/1/5
19,1011.4,1021.5,20.6,17.1,80,1.1,340,3.1,340,0,0,0,0,...,0,...,2020/1/5
20,1011.6,1021.7,20.6,17,80,0.4,10,2.5,360,0,0,...,0,4,0,10,2020/1/5
21,1011.2,1021.3,20.1,17.3,84,0.7,170,1.9,200,0,0,...,0,4,0,10,2020/1/5
22,1011.4,1021.5,19.9,17.3,85,0.5,200,2.3,200,0,0,...,0,...,0,...,2020/1/5
23,1011.5,1021.6,19.5,17.2,87,1.3,190,2.4,170,0,0,...,0,4,0,10,2020/1/5
24,1011.1,1021.2,19.1,17.3,89,0.9,170,2.5,170,0,0,...,0,...,0,...,2020/1/5
1,1010.8,1020.9,18.9,17.1,89,1.5,170,2.5,160,0,0,...,0,...,0,...,2020/1/6
2,1010.6,1020.7,19,16.9,88,0.7,150,2.2,190,0,0,...,0,4,0,10,2020/1/6
3,1010.2,1020.3,18.9,16.8,88,0.5,190,2.3,120,0,0,...,0,...,0,...,2020/1/6
4,1010.2,1020.3,18.9,16.8,88,0.7,220,1.9,230,0,0,...,0,...,0,...,2020/1/6
5,1010.6,1020.7,18.8,16.8,88,0.1,0,1.4,180,0,0,...,0,4,0,10,2020/1/6
6,1011,1021.2,18.7,16.8,89,0.4,110,1.4,130,0,0,0,0,...,0,...,2020/1/6
7,1011.5,1021.7,18.7,16.9,89,0.6,180,1.8,150,0,0,0,0,...,0,...,2020/1/6
8,1011.8,1021.9,19,16.5,85,0.1,0,1.6,190,0,0,0,0,4,0,10,2020/1/6
9,1012,1022.1,19.5,16.9,85,1.1,330,3,350,0,0,0,0.25,4,1,9,2020/1/6
10,1012.1,1022.2,20.6,17.1,80,1.1,330,3.4,360,0,0,0.3,0.86,...,2,...,2020/1/6
11,1011.3,1021.3,21.8,17.1,75,1,310,4.4,320,0,0,0.8,1.84,6,3,3,2020/1/6
12,1010.2,1020.2,22.8,17.2,71,0.7,240,4.2,270,0,0,1,1.94,...,4,...,2020/1/6
13,1009.1,1019.1,23.9,16.6,64,0.9,340,3.9,300,0,0,0.9,1.91,...,4,...,2020/1/6
14,1008.4,1018.4,23,16.9,69,1.3,310,3.2,220,0,0,0.7,1.43,7,3,8,2020/1/6
15,1007.9,1017.9,23.1,17.3,70,1.3,350,4.1,350,0,0,0.7,1.27,...,2,...,2020/1/6
16,1008.1,1018.1,22,17,73,1.6,350,4.3,20,0,0,0.7,0.72,...,1,...,2020/1/6
17,1008.4,1018.5,20.6,16.8,79,2,340,4.6,340,0,0,0.5,0.29,8,0,5,2020/1/6
18,1008.4,1018.5,20.1,17,82,1.1,300,3.4,340,0,0,0,0,...,0,...,2020/1/6
19,1008.7,1018.8,19,16.8,87,0.3,340,2.1,320,0,0,0,0,...,0,...,2020/1/6
20,1008.7,1018.8,18.7,17,90,0.1,0,1.9,280,0,0,...,0,6,0,9,2020/1/6
21,1008.8,1018.9,18.9,17.2,90,0.7,140,1.7,160,0,0,...,0,6,0,9,2020/1/6
22,1008.5,1018.6,19.1,17.2,89,0.4,90,1.6,160,0,0,...,0,...,0,...,2020/1/6
23,1008.2,1018.3,18.4,16.8,90,0.1,0,1.6,80,0,0,...,0,6,0,9,2020/1/6
24,1007.6,1017.7,18.2,16.6,90,0,0,1.2,80,0,0,...,0,...,0,...,2020/1/6
1,1007.1,1017.2,17.9,15.9,88,0.1,0,1.6,130,0,0,...,0,...,0,...,2020/1/7
2,1006.2,1016.3,17.6,15.7,89,0,0,1.3,90,0,0,...,0,10,0,9,2020/1/7
3,1006,1016.2,17.1,15.6,91,0,0,1.2,230,0,0,...,0,...,0,...,2020/1/7
4,1006.2,1016.4,17.3,15.4,89,0.1,0,1.2,70,0,0,...,0,...,0,...,2020/1/7
5,1006.7,1016.9,17.3,15.4,89,0.1,0,1.4,240,0,0,...,0,10,0,9,2020/1/7
6,1007.5,1017.7,17.1,15.4,90,0.1,0,1.8,80,0,0,0,0,...,0,...,2020/1/7
7,1008,1018.2,17.4,16.1,92,0.2,0,2.4,360,0,0,0,0,...,0,...,2020/1/7
8,1008,1018.1,18,16.9,93,0.5,60,1.9,70,0,0,0,0.19,3,0,4,2020/1/7
9,1008,1018.1,20.6,17.5,82,1.3,250,2.7,250,0,0,0.6,0.92,7,1,4,2020/1/7
10,1009.2,1019.2,22.1,17.5,75,1.6,240,3.8,230,0,0,0.9,1.5,...,2,...,2020/1/7
11,1010,1020,21.8,17.5,77,0.9,310,4.2,10,0,0,0.6,1.52,3,3,4,2020/1/7
12,1009.6,1019.6,23,17.8,73,1.8,180,3.4,200,0,0,0.8,1.99,...,4,...,2020/1/7
13,1008,1017.9,24.8,17.8,65,1.1,220,4.1,220,0,0,0.9,2.23,...,4,...,2020/1/7
14,1006.2,1016.1,25.5,16.6,58,0.9,170,3.8,140,0,0,1,2.04,10,3,4,2020/1/7
15,1005.4,1015.2,26.1,15.1,51,0.2,0,3.3,140,0,0,1,1.79,...,2,...,2020/1/7
16,1006,1015.9,25.1,14.9,53,0.7,210,3.7,230,0,0,0.9,0.94,...,1,...,2020/1/7
17,1006.6,1016.6,22.9,15.6,63,0.2,0,2.5,240,0,0,0.5,0.23,10,0,4,2020/1/7
18,1007.3,1017.3,21.6,15.4,68,0,0,1,340,0,0,0,0,...,0,...,2020/1/7
19,1007.8,1017.8,20.8,15.6,72,0.3,90,2.9,90,0,0,0,0,...,0,...,2020/1/7
20,1007.9,1018,20.4,16,76,0.4,70,1.7,90,0,0,...,0,10,0,0,2020/1/7
21,1007.6,1017.7,20,15.7,76,0.4,320,1.8,70,0,0,...,0,10,0,0,2020/1/7
22,1007.2,1017.3,19.2,15.3,78,0.2,0,2,360,0,0,...,0,...,0,...,2020/1/7
23,1007.5,1017.6,18.6,15.6,83,0,0,1.2,90,0,0,...,0,10,0,0,2020/1/7
24,1007.9,1018,18.1,15.2,83,0.1,0,1.5,130,0,0,...,0,...,0,...,2020/1/7
1,1007.8,1018,17.8,15.3,85,0.1,0,1.6,130,0,0,...,0,...,0,...,2020/1/8
2,1007.9,1018.1,17.2,15,87,0.3,100,1.5,140,0,0,...,0,10,0,0,2020/1/8
3,1008.3,1018.5,16.4,14.7,90,0,0,1.2,70,0,0,...,0,...,0,...,2020/1/8
4,1008.5,1018.7,16.5,14.5,88,0.3,120,1.4,120,0,0,...,0,...,0,...,2020/1/8
5,1009,1019.2,16,14.2,89,0,0,1.4,90,0,0,...,0,12,0,0,2020/1/8
6,1009.4,1019.6,16.3,14.3,88,0.1,0,1.8,140,0,0,0,0,...,0,...,2020/1/8
7,1009.3,1019.5,16.5,14.2,86,0.3,90,2.4,120,0,0,0,0,...,0,...,2020/1/8
8,1009.6,1019.7,18.9,14.9,78,0.6,360,4.2,360,0,0,0.5,0.29,15,0,0,2020/1/8
9,1009.7,1019.8,20.6,15.6,73,1.5,330,4.2,340,0,0,1,0.99,15,1,0,2020/1/8
10,1009.7,1019.7,22.1,16.1,69,1.8,330,3.8,310,0,0,1,1.68,...,2,...,2020/1/8
11,1008.8,1018.8,23.6,16,62,0.8,50,4.1,340,0,0,1,2.2,15,3,0,2020/1/8
12,1007.4,1017.3,24.7,15.4,56,0.7,,4.7,310,0,0,1,2.4,...,4,...,2020/1/8
13,1006.4,1016.3,26,16.1,54,1.8,360,4.6,10,0,0,1,2.4,...,4,...,2020/1/8
14,1005.8,1015.7,25.8,15.6,53,2.5,340,5.8,320,0,0,1,2.25,15,4,0,2020/1/8
15,1005.6,1015.5,24.8,15,54,2.4,340,6.1,350,0,0,1,1.72,...,2,...,2020/1/8
16,1005.9,1015.8,23.5,14.2,56,2.3,330,6,310,0,0,1,1.05,...,1,...,2020/1/8
17,1006.3,1016.3,21.4,13.4,60,2.4,330,6.8,10,0,0,1,0.36,15,0,0,2020/1/8
18,1007,1017.1,19.6,13.3,67,2.2,330,6.4,340,0,0,0.1,0,...,0,...,2020/1/8
19,1007.7,1017.8,18.4,13.1,71,0.9,330,5.5,330,0,0,0,0,...,0,...,2020/1/8
20,1008.1,1018.3,17.5,12.8,74,1.1,330,4.8,360,0,0,...,0,10,0,0,2020/1/8
21,1008.3,1018.5,17,12.7,76,1,300,3.8,260,0,0,...,0,10,0,0,2020/1/8
22,1008.6,1018.8,16.4,12.7,79,1.1,300,4,310,0,0,...,0,...,0,...,2020/1/8
23,1008.9,1019.1,15.9,12.4,80,1,330,3.5,350,0,0,...,0,10,0,0,2020/1/8
24,1008.9,1019.1,15.3,12.7,84,0.2,0,2.5,360,0,0,...,0,...,0,...,2020/1/8
1,1008.6,1018.8,15.4,13.1,86,0.2,0,1.5,250,0,0,...,0,...,0,...,2020/1/9
2,1008.3,1018.5,15.2,13,87,0.3,290,2.3,240,0,0,...,0,10,0,0,2020/1/9
3,1008.3,1018.5,15.5,13,85,0.6,320,2.3,290,0,0,...,0,...,0,...,2020/1/9
4,1008.2,1018.4,15.5,13,85,0.6,270,2,310,0,0,...,0,...,0,...,2020/1/9
5,1008.2,1018.4,15.9,13.3,85,0.1,0,1.4,260,0,0,...,0,10,0,10,2020/1/9
6,1008.9,1019.1,16.2,13,81,1.2,340,2.6,340,0,0,0,0,...,0,...,2020/1/9
7,1009.2,1019.4,16.4,13.2,81,0.1,0,2.5,300,0,0,0,0,...,0,...,2020/1/9
8,1009.7,1019.9,17,13.3,79,0.5,320,2,320,0,0,0,0,12,0,10,2020/1/9
9,1010.4,1020.6,17.9,13.9,77,0.1,0,3.8,350,0,0,0,0.23,12,0,9,2020/1/9
10,1010.2,1020.3,20.9,14.6,67,0.4,110,1.6,180,0,0,0.6,1.3,...,2,...,2020/1/9
11,1009.1,1019.1,22.7,15.7,65,1,200,2.2,200,0,0,1,2.05,10,3,0,2020/1/9
12,1008,1017.9,23.8,16,62,0.9,180,2.9,230,0,0,1,2.4,...,4,...,2020/1/9
13,1007.2,1017.1,25.1,16.5,59,1.5,240,3.3,230,0,0,1,2.4,...,4,...,2020/1/9
14,1006.7,1016.6,24.7,15.9,58,1.6,320,4,360,0,0,1,2.15,10,3,0,2020/1/9
15,1006.3,1016.2,23.5,15.6,61,2.3,360,6.4,340,0,0,1,1.65,...,2,...,2020/1/9
16,1006.1,1016.1,22.4,15.1,63,2,340,5.9,350,0,0,1,1.04,...,1,...,2020/1/9
17,1005.9,1015.9,21.6,15.3,67,2,340,5.4,340,0,0,0.9,0.37,10,0,0,2020/1/9
18,1006.6,1016.7,19.9,15.2,74,1.8,350,5.7,330,0,0,0,0,...,0,...,2020/1/9
19,1007.7,1017.8,19.3,15.2,77,2,350,5.2,340,0,0,0,0,...,0,...,2020/1/9
20,1007.8,1017.9,19.2,15.5,79,0.4,30,3.2,320,0,0,...,0,12,0,8,2020/1/9
21,1007.4,1017.5,18,15.2,84,0.2,0,1.8,40,0,0,...,0,12,0,2,2020/1/9
22,1007.1,1017.2,18.1,15.3,84,0.6,310,1.6,340,0,0,...,0,...,0,...,2020/1/9
23,1006.5,1016.7,17.4,15.1,86,0.6,300,1.6,290,0,0,...,0,10,0,0,2020/1/9
24,1006.3,1016.4,17.5,15.3,87,0.2,0,2,290,0,0,...,0,...,0,...,2020/1/9
1,1006.2,1016.4,16.4,14.9,91,0.6,120,1.7,120,0,0,...,0,...,0,...,2020/1/10
2,1006.1,1016.3,16.4,14.9,91,0.1,0,1.5,130,0,0,...,0,10,0,0,2020/1/10
3,1006.4,1016.6,16.1,15,93,0,0,1.6,190,0,0,...,0,...,0,...,2020/1/10
4,1006.7,1016.9,16,14.9,93,0.1,0,1.4,230,0,0,...,0,...,0,...,2020/1/10
5,1007,1017.2,15.5,14.5,94,0.3,210,1.8,130,0,0,...,0,10,0,9,2020/1/10
6,1007.5,1017.7,16.2,14.9,92,0.1,0,1.2,130,0,0,0,0,...,0,...,2020/1/10
7,1008,1018.2,16.8,14.9,89,0.2,0,1.2,100,0,0,0,0,...,0,...,2020/1/10
8,1008.1,1018.2,17.9,15.1,84,0,0,1.5,130,0,0,0,0.12,10,0,9,2020/1/10
9,1008.3,1018.4,19.9,15.9,78,0.6,180,1.7,230,0,0,0.5,0.8,10,1,6,2020/1/10
10,1007.8,1017.8,22.7,16.6,68,0.5,180,2.5,230,0,0,1,1.66,...,2,...,2020/1/10
11,1007,1016.9,24.4,16.4,61,1.5,200,3.8,230,0,0,1,2.26,10,3,4,2020/1/10
12,1006.2,1016.1,24.4,15.3,57,1.8,230,4.4,230,0,0,1,2.4,...,4,...,2020/1/10
13,1005.5,1015.4,24.5,16.1,59,1.4,210,5.2,240,0,0,0.9,2.26,...,4,...,2020/1/10
14,1005,1014.9,23.7,16.4,64,2.4,340,4.4,220,0,0,0.1,1.33,10,3,9,2020/1/10
15,1004.8,1014.7,23.2,17.2,69,1.5,280,5,340,0,0,0.4,1.39,...,2,...,2020/1/10
16,1004.6,1014.6,21.8,16.3,71,1.8,350,4.6,310,0,0,0.9,1,...,1,...,2020/1/10
17,1004.5,1014.5,20.6,16.2,76,1.6,330,4.2,360,0,0,0.9,0.34,10,0,0,2020/1/10
18,1004.7,1014.7,19.8,16.5,81,1.3,310,3.5,320,0,0,0,0,...,0,...,2020/1/10
19,1005.3,1015.4,19.1,16.5,85,1.5,360,4.8,340,0,0,0,0,...,0,...,2020/1/10
20,1005.5,1015.6,18.9,16.6,87,1.1,320,3.5,10,0,0,...,0,10,0,5,2020/1/10
21,1005.7,1015.8,18,16.2,89,0.5,310,2.2,300,0,0,...,0,8,0,0,2020/1/10
22,1006.1,1016.2,17.7,16.1,90,0.1,0,1.5,300,0,0,...,0,...,0,...,2020/1/10
23,1005.7,1015.9,17,15.7,92,0.2,0,1.4,120,0,0,...,0,8,0,6,2020/1/10
24,1005.6,1015.8,16.8,15.6,93,0.3,100,1.4,120,0,0,...,0,...,0,...,2020/1/10
1,1005.5,1015.7,16.2,14.9,92,0.1,0,1.6,90,0,0,...,0,...,0,...,2020/1/11
2,1005.2,1015.4,15.9,14.8,93,0.3,120,1.5,120,0,0,...,0,10,0,4,2020/1/11
3,1005,1015.2,16.3,15.3,94,0,0,2.6,330,0,0,...,0,...,0,...,2020/1/11
4,1005,1015.2,16.7,15.5,93,0.6,320,1.7,330,0,0,...,0,...,0,...,2020/1/11
5,1005.1,1015.3,16.9,15.9,94,1.1,360,3.3,320,0,0,...,0,4,0,4,2020/1/11
6,1005.6,1015.8,17,16.3,96,1.1,340,3,360,0,0,0,0,...,0,...,2020/1/11
7,1005.8,1016,17,15.9,93,0.3,40,3.6,350,0,0,0,0,...,0,...,2020/1/11
8,1006.3,1016.5,17.3,16.2,93,0.3,60,1.9,360,0,0,0.5,0.29,6,0,2,2020/1/11
9,1006.6,1016.7,19.2,16.5,84,0.3,,1.8,90,0,0,1,0.94,10,1,2,2020/1/11
10,1006.7,1016.7,20.5,16,75,1.2,330,2.8,330,0,0,1,1.48,...,2,...,2020/1/11
11,1006.2,1016.2,21.6,16.2,71,0.9,210,3.1,340,0,0,0.5,1.49,10,3,6,2020/1/11
